park name,location,entrance fee,lodging,est. length of stay,gas price
Saguaro,"Arizona
32°15′N110°30′W﻿ / ﻿32.25°N 110.50°W﻿ / 32.25; -110.50﻿ (Saguaro)",25.00,73,2,4.59
Sequoia,"California
36°26′N118°41′W﻿ / ﻿36.43°N 118.68°W﻿ / 36.43; -118.68﻿ (Sequoia)",35.00,97,2,5.66
Shenandoah,"Virginia
38°32′N78°21′W﻿ / ﻿38.53°N 78.35°W﻿ / 38.53; -78.35﻿ (Shenandoah)",30.00,65,2,4.05
Theodore Roosevelt,"North Dakota
46°58′N103°27′W﻿ / ﻿46.97°N 103.45°W﻿ / 46.97; -103.45﻿ (Theodore Roosevelt)",30.00,135,2,4.23
Voyageurs,"Minnesota
48°30′N92°53′W﻿ / ﻿48.50°N 92.88°W﻿ / 48.50; -92.88﻿ (Voyageurs)",0.00,79,2,4.22
White Sands,"New Mexico
32°47′N106°10′W﻿ / ﻿32.78°N 106.17°W﻿ / 32.78; -106.17﻿ (White Sands)",25.00,72,1,4.06
Wind Cave,"South Dakota
43°34′N103°29′W﻿ / ﻿43.57°N 103.48°W﻿ / 43.57; -103.48﻿ (Wind Cave)",0.00,130,1,4.27
Yellowstone,"Wyoming, Montana, Idaho
44°36′N110°30′W﻿ / ﻿44.60°N 110.50°W﻿ / 44.60; -110.50﻿ (Yellowstone)",35.00,79,10,4.48
Yosemite,"California
37°50′N119°30′W﻿ / ﻿37.83°N 119.50°W﻿ / 37.83; -119.50﻿ (Yosemite)",35.00,246,10,5.66
Zion,"Utah
37°18′N113°03′W﻿ / ﻿37.30°N 113.05°W﻿ / 37.30; -113.05﻿ (Zion)",35.00,48,4,4.87
