0,77996,69258,36345,76598,81427,67103,80968,70097,73523,73646,52402,110249,27117,95774,79115,19014,74002,88508,67350,84222,61877,39559,75650,40991,10481,100222,113054,106336,29534,74204,101302,38932,101023,106996,81225,115566,120119,53772,92125,111043,45960,43222,26917,75042,42740,65128,102214,84374
77996,0,138027,113521,139198,99895,135881,149761,138870,142290,136137,68709,179002,52138,164572,100072,80826,148634,155407,139450,153016,130546,67468,138125,97773,65427,169102,181941,176028,73916,142994,176090,59230,175673,182028,145683,184448,188837,122513,156626,179916,46167,117720,94723,139482,119913,142298,171030,153161
69258,137296,0,39821,51232,128120,10599,14974,1789,7503,38237,103414,51451,88319,29784,125737,63047,47538,20833,29472,18229,22147,89740,40225,68200,71662,34265,47154,47689,78330,8256,54951,95206,63475,63470,18459,49661,61286,18836,32393,45129,101567,49894,79996,33873,37477,29739,39038,18374
36345,113316,40178,0,62808,111208,38032,50797,41020,44441,53072,86502,75409,61909,63189,108824,46134,42078,58281,28791,49567,34406,72827,55059,56211,45258,68457,81347,72435,61418,45054,65301,75750,64883,71239,55045,82072,85244,22251,66798,79321,80804,16616,40077,51062,4345,28589,67436,52567
76598,138936,51233,62612,0,94789,50169,60011,50656,57119,14273,81246,98167,87411,60828,92405,58977,94458,48336,72232,68671,40301,74209,13324,43816,74837,49829,72625,87811,67377,43788,105986,88686,114510,114505,37955,74161,97170,50147,32213,70600,90469,77521,88105,21088,61963,74680,74341,58639
81427,99414,128487,111282,94702,0,122017,137310,127369,132750,97960,35490,174289,66991,142249,3936,66186,153548,127266,134737,143476,110722,45700,99542,66861,73153,135956,156767,169232,54317,120429,175490,54546,176352,182708,117541,159274,182283,113793,118339,154742,54791,123933,107579,105914,117167,136424,155547,135938
67103,135188,10609,37714,50300,121853,0,22343,11452,14872,37305,99888,58820,86212,37154,119470,59521,54907,26978,31641,25598,13703,86214,39292,61580,69555,41634,54523,55059,74805,10725,62320,91681,70844,70839,22615,57030,68655,16729,38539,52498,98042,48836,77889,34132,35370,35679,46408,25743
80968,148979,14893,50297,60157,137026,22283,0,15736,7579,47594,115098,50071,100003,20468,134643,74730,48886,9937,30820,11502,35097,101423,49582,77558,83346,24948,37837,41421,90014,22268,56298,106890,64823,64817,22133,40344,56084,30520,30058,35812,113251,58233,88588,42629,46589,31086,30273,6430
70097,138138,1777,40663,50488,126925,11441,15816,0,8345,37493,104256,52293,89161,30626,124542,63889,48380,20089,30314,19071,21403,90581,39481,67457,72504,35107,47996,48531,79172,7512,55793,96048,64317,64312,17715,50503,62128,19678,31649,45971,102409,50736,80838,33129,38319,30580,39880,19216
73523,141508,7422,44034,56805,132332,14811,7595,8265,0,43810,107626,50664,92532,24572,129949,67259,46751,16182,28685,14216,27626,93952,45798,73666,75875,29052,41941,43676,82543,15470,54163,99419,62688,62682,22777,44448,58339,23048,35213,39916,105780,54106,84208,39446,41689,28951,34377,12675
73646,135851,38533,52097,14404,97863,37353,47898,37957,44419,0,79308,89787,84326,52836,95479,55892,81642,37853,59416,56565,27486,72272,2141,41878,71752,41865,64661,79820,65440,31016,93287,86748,101811,101806,28129,66197,89206,37331,24249,62636,88531,65265,85019,11872,51012,61865,66377,46526
52402,68370,103915,86710,81817,35474,100371,115650,104758,108178,79720,0,149718,32800,121255,35651,41615,125499,106272,110165,118904,89047,12108,81708,43093,42979,119967,135773,146743,27838,99435,150919,20355,151781,158137,96548,138280,159553,89221,102554,133748,20951,94585,78231,87675,92596,111853,134553,114944
110249,177851,51249,74862,97947,173064,58638,50026,52092,50554,89277,148358,0,128875,36911,170681,107991,46105,55786,46043,39178,71453,134683,88162,115926,112218,48884,33993,14146,123274,59297,24312,140150,33124,26095,62580,30397,12365,64782,65360,35056,146511,72381,104323,82828,71154,45618,28792,49672
27117,52232,89061,62190,87804,66963,86915,100795,89903,93324,84743,32720,130036,0,115605,67140,29432,100052,104013,90483,104050,79152,28314,86731,47873,16580,117708,132975,127062,22522,91600,127508,18261,127091,133446,94289,135482,139871,73547,105232,130950,19302,69138,52784,88088,68581,90966,122063,104195
95774,164261,30175,63173,60954,142196,37564,20935,31018,25027,52764,120829,37345,115285,0,139812,90012,60385,21372,43010,18040,49085,110545,51169,82727,98628,13573,18764,26990,103713,35098,55733,122172,64257,58851,25588,21271,41653,45801,28367,16739,126805,69902,101464,45835,59465,42586,11539,16077
79115,100436,126037,108832,92252,4206,119568,134861,124920,130301,95510,36513,171840,68013,139799,0,63737,151099,124816,132287,141027,108273,43923,97093,64412,70704,133506,154318,166783,51867,117979,173041,55568,173903,180259,115092,156825,179834,111344,115890,152293,55813,121484,105130,103465,114718,133975,153098,133489
19014,80901,63449,46244,59350,66169,59905,75183,64292,67712,56290,41463,109251,29377,89994,63786,0,88510,75560,69699,78438,51224,27789,58277,22615,16802,89255,105061,106277,16380,63672,110452,33256,111315,117670,65835,107568,119086,48755,76779,103036,39617,59378,44876,59635,52130,71386,99247,78583
74002,148697,47390,42250,94957,153712,54779,48836,48232,46695,81961,125571,46145,100187,60383,151329,88639,0,56319,28544,47606,62589,112674,83949,98715,83536,66496,77004,57157,102101,55438,32309,114028,31891,38247,65640,73408,55763,50433,76441,77360,119082,31315,61263,79952,40805,21833,62373,50605
88508,156072,20247,57858,49459,127950,26577,10011,19670,16242,38518,106583,55983,104548,21399,125567,76113,56446,0,38380,18237,30906,96300,39674,68482,91070,20765,36599,46847,89468,16919,63859,108427,72383,72378,11342,39106,61510,38244,18531,34574,112559,65793,96149,32266,54149,38647,33980,8639
67350,138568,29479,28556,72299,133781,31992,30926,30322,28785,59304,109075,46133,89592,43042,131398,68708,27988,38409,0,29696,38520,95401,61292,76643,72935,48586,60379,48463,83992,37527,45501,100868,47518,53873,47730,58100,56227,26456,58531,59450,107229,30290,62232,57295,24848,542,45204,32695
